"id","section_id","section name","title","created"
10367,9,"Day & Night","Shirley visit is a whirl",18/06/07 00:00
10368,4,"Other Sport","Vaughan urged to quit ODI role",17/06/07 00:00
10366,1,"UK News","Firm set for 'ghost ships' victory",18/06/07 11:45
10365,4,"Other Sport","Strauss hits back",18/06/07 00:00
10364,22,"City & Business","Sainsbury's sales to 'outshine' Tesco",18/06/07 00:00
901,1,"UK News","Iraq security handover &apos;imminent&apos;",17/06/06 00:00
10363,4,"Other Sport","Vaughan in split decision",18/06/07 00:00
10362,22,"City & Business","Fashion icon leads move to economic strength",18/06/07 00:00
10361,22,"City & Business","Barclays agrees to drop 'Nazi' eagle logo",18/06/07 00:00
10358,1,"UK News","Police worker admits terrorism leak",18/06/07 11:15
10359,4,"Other Sport","McGhee appointed at Well",18/06/07 11:17
10360,17,"The Crusader","Insurance storm is finally calmed",18/06/07 00:00
10357,4,"Other Sport","Mauresmo has the bottle for another vintage Wimbledon",18/06/07 00:00
10356,40,"Columnists","Why we cannot allow Blair's last act to be the betrayal of Britain",18/06/07 00:00
10355,41,"Express Comment","Brown lands yet another tax blow on our pensions",18/06/07 00:00
10354,4,"Other Sport","Not Murray's year",18/06/07 00:00
10353,1,"UK News","Johnston release set back",18/06/07 00:00
10352,1,"UK News","Princes tell of her zest for life",18/06/07 00:00
10351,1,"UK News","Backing for President Blair",18/06/07 00:00
904,1,"UK News","West End debut for US film actress",17/06/06 00:00
10224,4,"Other Sport","Zahavi: I've been bung out to dry",17/06/07 00:00
255,1,"UK News","9/11 - The conspiracy theories ",22/02/07 00:00
260,4,"Other Sport","The McClaren era",22/02/07 14:53
902,1,"UK News","Paul Newman hints at last film role",17/06/06 00:00
19112,40,"Columnists","England school of hard knocks ",14/09/07 00:00
1001,1,"UK News","Get real Ronaldo",13/07/06 00:00
261,1,"UK News","9/11 - The Aftermath",22/02/07 00:00
259,1,"UK News","9/11 - Timetable of terror",22/02/07 14:51
10225,4,"Other Sport","Lionheart Hamilton is ready to rule the world",17/06/07 00:00
10227,4,"Other Sport","Police move in on bungs suspects",17/06/07 00:00
10228,7,"Have Your Say","Can we trust the Tories any more than Labour?",17/06/07 00:00
10229,7,"Have Your Say","Have you ever been pushed to breaking point?",17/06/07 00:00
10230,7,"Have Your Say","Do children need discipline not pills?",17/06/07 00:00
10231,7,"Have Your Say","Royal marriages: Why do they go wrong?",17/06/07 00:00
10232,1,"UK News","Longer Midsomer nights",17/06/07 00:00
10233,1,"UK News","It's time for Cameron to come out fighting",17/06/07 00:00
900,1,"UK News","Amnesty nets nearly 18,000 weapons",17/06/06 00:00
10350,1,"UK News","Will Brown let us vote on Europe?",18/06/07 00:00
10348,4,"Other Sport","Gear joins Worcester",18/06/07 10:47
10349,4,"Other Sport","Jankovic reigns on Sharapova's parade",18/06/07 00:00
10347,7,"Have Your Say","Are Britain's drinking problems exaggerated? ",18/06/07 00:00
10346,1,"UK News","Half of us' have damaged liver caused by drink",18/06/07 00:00
10345,4,"Other Sport","Roddick rocks on ",18/06/07 00:00
10344,1,"UK News","Five Britons die in safari plane crash",18/06/07 00:00
10343,4,"Other Sport","Mexico's hats off to Hitman",18/06/07 00:00
10342,1,"UK News","A click cure for Monday's blues",18/06/07 00:00
10341,1,"UK News","Homes glut - but prices are still rising",18/06/07 00:00
10340,1,"UK News","QE2 to become floating Dubai hotel",18/06/07 10:15
10337,1,"UK News","March of the warriors",18/06/07 00:00
10338,4,"Other Sport","Robinson backs Dallaglio to lift England",18/06/07 00:00
10336,4,"Other Sport","Brace for Riley earns Cullen one more life",18/06/07 00:00
10334,1,"UK News","Heirless' Sir Ben kicks out family from estate cottage",18/06/07 00:00
10335,1,"UK News","Rosehips offer hope to arthritis sufferers",18/06/07 00:00
10333,1,"UK News","Thanks to you Alan, business is blooming",18/06/07 00:00
10332,4,"Other Sport","Becks savours Real happy ending",18/06/07 09:47
10329,4,"Other Sport","Smith not guilty of Giants robbery",18/06/07 00:00
10331,4,"Other Sport","Hamilton stays cool after US success",18/06/07 09:47
10328,1,"UK News","Britain at risk of flood catastrophe",18/06/07 00:00
10327,1,"UK News","Builders take top spot at hitting jackpot",18/06/07 00:00
